Level1,Level2,Level3,Level4,Level5,Level6,Level7
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,Hydrogen Oxidation,"hydrogen oxidation III (anaerobic, NADP)",,,
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,ammonia oxidation I (aerobic),,,,
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,ammonia oxidation II (anaerobic),,,,
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,ammonia oxidation IV (autotrophic ammonia oxidizers),,,,
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,arsenite oxidation I (respiratory),,,,
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,arsenite oxidation II (respiratory),,,,
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,formate oxidation to CO2,,,,
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,galena oxidation,,,,
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,nitrite oxidation,,,,
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,sulfide oxidation I (sulfide-quinone reductase),,,,
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,sulfide oxidation III (persulfide dioxygenase),,,,
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,sulfite oxidation I (sulfite oxidoreductase),,,,
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,sulfite oxidation V (SoeABC),,,,
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,sulfur oxidation I (aerobic),,,,
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,sulfur oxidation II (Fe+3-dependent),,,,
Generation of Precursor Metabolites and Energy,Chemoautotrophic Energy Metabolism,superpathway of sulfur metabolism (Desulfocapsa sulfoexigens),,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,aerobic respiration I (cytochrome c),,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,aerobic respiration II (cytochrome c) (yeast),,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,aerobic respiration III (alternative oxidase pathway),,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,arsenite oxidation I (respiratory),,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,arsenite oxidation II (respiratory),,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,D-lactate to cytochrome bo oxidase electron transport,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,formate to dimethyl sulfoxide electron transfer,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,formate to trimethylamine N-oxide electron transfer,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,glycerol-3-phosphate to cytochrome bo oxidase electron transfer,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,glycerol-3-phosphate to fumarate electron transfer,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,hydrogen to dimethyl sulfoxide electron transfer,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,hydrogen to fumarate electron transfer,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,hydrogen to trimethylamine N-oxide electron transfer,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,NADH to cytochrome bd oxidase electron transfer I,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,NADH to cytochrome bd oxidase electron transport II,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,NADH to cytochrome bo oxidase electron transfer I,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,NADH to cytochrome bo oxidase electron transfer II,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,NADH to dimethyl sulfoxide electron transfer,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,NADH to fumarate electron transfer,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,NADH to trimethylamine N-oxide electron transfer,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,nitrate reduction III (dissimilatory),,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,nitrate reduction IX (dissimilatory),,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,nitrate reduction VIII (dissimilatory),,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,"nitrate reduction X (periplasmic, dissimilatory)",,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,nitrite oxidation,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,photosynthesis light reactions,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,proline to cytochrome bo oxidase electron transfer,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,pyruvate to cytochrome bd terminal oxidase electron transfer,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,pyruvate to cytochrome bo oxidase electron transfer,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,succinate to cytochrome bd oxidase electron transfer,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,succinate to cytochrome bo oxidase electron transfer,,,,
Generation of Precursor Metabolites and Energy,Electron Transfer,tetrathionate reduction I (to thiosulfate),,,,
Generation of Precursor Metabolites and Energy,Entner-Duodoroff Pathways,Entner-Doudoroff pathway I,,,,
Generation of Precursor Metabolites and Energy,Entner-Duodoroff Pathways,Entner-Doudoroff pathway II (non-phosphorylative),,,,
Generation of Precursor Metabolites and Energy,Entner-Duodoroff Pathways,Entner-Doudoroff pathway III (semi-phosphorylative),,,,
Generation of Precursor Metabolites and Energy,Fermentation,Acetate Formation,acetate formation from acetyl-CoA I,,,
Generation of Precursor Metabolites and Energy,Fermentation,Acetate Formation,acetate formation from acetyl-CoA II,,,
Generation of Precursor Metabolites and Energy,Fermentation,Acetate Formation,acetate formation from acetyl-CoA III (succinate),,,
Generation of Precursor Metabolites and Energy,Fermentation,Acetoin Biosynthesis,(R)-acetoin biosynthesis I,,,
Generation of Precursor Metabolites and Energy,Fermentation,Acetoin Biosynthesis,(R)-acetoin biosynthesis II,,,
Generation of Precursor Metabolites and Energy,Fermentation,Acetoin Biosynthesis,(S)-acetoin biosynthesis,,,
Generation of Precursor Metabolites and Energy,Fermentation,Acetoin Biosynthesis,acetoin biosynthesis III,,,
Generation of Precursor Metabolites and Energy,Fermentation,Acetyl-CoA Fermentation to Butanoate,acetyl-CoA fermentation to butanoate II,,,
Generation of Precursor Metabolites and Energy,Fermentation,Butanediol Biosynthesis,"(R,R)-butanediol biosynthesis",,,
Generation of Precursor Metabolites and Energy,Fermentation,Butanediol Biosynthesis,"(S,S)-butanediol biosynthesis",,,
Generation of Precursor Metabolites and Energy,Fermentation,Butanediol Biosynthesis,meso-butanediol biosynthesis I,,,
Generation of Precursor Metabolites and Energy,Fermentation,Butanediol Biosynthesis,meso-butanediol biosynthesis II,,,
Generation of Precursor Metabolites and Energy,Fermentation,Butanediol Biosynthesis,"superpathway of (R,R)-butanediol biosynthesis",,,
Generation of Precursor Metabolites and Energy,Fermentation,Butanediol Biosynthesis,"superpathway of 2,3-butanediol biosynthesis",,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to acetate and alanine,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to acetate and lactate I,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to acetate and lactate II,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to acetate I,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to acetate II,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to acetate III,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to acetate IV,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to acetate V,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to acetate VI,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to acetate VII,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to acetate VIII,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to acetone,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to butanoate,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to butanol I,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to butanol II (engineered),,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to ethanol I,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to ethanol II,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to ethanol III,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to hexanol (engineered),,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to isobutanol (engineered),,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to lactate,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to opines,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to propanoate I,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,pyruvate fermentation to propanoate II (acrylate pathway),,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,superpathway of Clostridium acetobutylicum acidogenic and solventogenic fermentation,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,superpathway of Clostridium acetobutylicum acidogenic fermentation,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,superpathway of Clostridium acetobutylicum solventogenic fermentation,,,
Generation of Precursor Metabolites and Energy,Fermentation,Pyruvate Fermentation,superpathway of fermentation (Chlamydomonas reinhardtii),,,
Generation of Precursor Metabolites and Energy,Fermentation,"1,2-propanediol biosynthesis from lactate (engineered)",,,,
Generation of Precursor Metabolites and Energy,Fermentation,"1,3-propanediol biosynthesis (engineered)",,,,
Generation of Precursor Metabolites and Energy,Fermentation,2-methylbutanoate biosynthesis,,,,
Generation of Precursor Metabolites and Energy,Fermentation,acetylene degradation,,,,
Generation of Precursor Metabolites and Energy,Fermentation,"anaerobic energy metabolism (invertebrates, cytosol)",,,,
Generation of Precursor Metabolites and Energy,Fermentation,"anaerobic energy metabolism (invertebrates, mitochondrial)",,,,
Generation of Precursor Metabolites and Energy,Fermentation,benzoate fermentation (to acetate and cyclohexane carboxylate),,,,
Generation of Precursor Metabolites and Energy,Fermentation,Bifidobacterium shunt,,,,
Generation of Precursor Metabolites and Energy,Fermentation,crotonate fermentation (to acetate and cyclohexane carboxylate),,,,
Generation of Precursor Metabolites and Energy,Fermentation,glycerol degradation III,,,,
Generation of Precursor Metabolites and Energy,Fermentation,glycolate degradation II,,,,
Generation of Precursor Metabolites and Energy,Fermentation,heterolactic fermentation,,,,
Generation of Precursor Metabolites and Energy,Fermentation,"hexitol fermentation to lactate, formate, ethanol and acetate",,,,
Generation of Precursor Metabolites and Energy,Fermentation,homolactic fermentation,,,,
Generation of Precursor Metabolites and Energy,Fermentation,L-alanine fermentation to propanoate and acetate,,,,
Generation of Precursor Metabolites and Energy,Fermentation,L-glutamate degradation V (via hydroxyglutarate),,,,
Generation of Precursor Metabolites and Energy,Fermentation,L-glutamate degradation VII (to butanoate),,,,
Generation of Precursor Metabolites and Energy,Fermentation,L-glutamate degradation VIII (to propanoate),,,,
Generation of Precursor Metabolites and Energy,Fermentation,L-lysine fermentation to acetate and butanoate,,,,
Generation of Precursor Metabolites and Energy,Fermentation,mixed acid fermentation,,,,
Generation of Precursor Metabolites and Energy,Fermentation,purine nucleobases degradation I (anaerobic),,,,
Generation of Precursor Metabolites and Energy,Fermentation,purine nucleobases degradation II (anaerobic),,,,
Generation of Precursor Metabolites and Energy,Fermentation,succinate fermentation to butanoate,,,,
Generation of Precursor Metabolites and Energy,Fermentation,superpathway of anaerobic energy metabolism (invertebrates),,,,
Generation of Precursor Metabolites and Energy,Glycolysis,glycolysis I (from glucose 6-phosphate),,,,
Generation of Precursor Metabolites and Energy,Glycolysis,glycolysis II (from fructose 6-phosphate),,,,
Generation of Precursor Metabolites and Energy,Glycolysis,glycolysis III (from glucose),,,,
Generation of Precursor Metabolites and Energy,Glycolysis,glycolysis IV (plant cytosol),,,,
Generation of Precursor Metabolites and Energy,Glycolysis,glycolysis V (Pyrococcus),,,,
Generation of Precursor Metabolites and Energy,Hydrogen Production,hydrogen production I,,,,
Generation of Precursor Metabolites and Energy,Hydrogen Production,hydrogen production II,,,,
Generation of Precursor Metabolites and Energy,Hydrogen Production,hydrogen production III,,,,
Generation of Precursor Metabolites and Energy,Hydrogen Production,hydrogen production IV,,,,
Generation of Precursor Metabolites and Energy,Hydrogen Production,hydrogen production V,,,,
Generation of Precursor Metabolites and Energy,Hydrogen Production,hydrogen production VI,,,,
Generation of Precursor Metabolites and Energy,Hydrogen Production,hydrogen production VIII,,,,
Generation of Precursor Metabolites and Energy,Hydrogen Production,superpathway of hydrogen production,,,,
Generation of Precursor Metabolites and Energy,Hydrogen Production,superpathway of photosynthetic hydrogen production,,,,
Generation of Precursor Metabolites and Energy,Other,glycerol-3-phosphate shuttle,,,,
Generation of Precursor Metabolites and Energy,Other,ketogenesis,,,,
Generation of Precursor Metabolites and Energy,Other,ketolysis,,,,
Generation of Precursor Metabolites and Energy,Other,sulfur disproportionation I (anaerobic),,,,
Generation of Precursor Metabolites and Energy,Other,sulfur disproportionation II (aerobic),,,,
Generation of Precursor Metabolites and Energy,Pentose Phosphate Pathways,pentose phosphate pathway,,,,
Generation of Precursor Metabolites and Energy,Pentose Phosphate Pathways,pentose phosphate pathway (non-oxidative branch),,,,
Generation of Precursor Metabolites and Energy,Pentose Phosphate Pathways,pentose phosphate pathway (oxidative branch),,,,
Generation of Precursor Metabolites and Energy,Pentose Phosphate Pathways,pentose phosphate pathway (partial),,,,
Generation of Precursor Metabolites and Energy,Photosynthesis,"C4 photosynthetic carbon assimilation cycle, NAD-ME type",,,,
Generation of Precursor Metabolites and Energy,Photosynthesis,"C4 photosynthetic carbon assimilation cycle, NADP-ME type",,,,
Generation of Precursor Metabolites and Energy,Photosynthesis,"C4 photosynthetic carbon assimilation cycle, PEPCK type",,,,
Generation of Precursor Metabolites and Energy,Photosynthesis,Calvin-Benson-Bassham cycle,,,,
Generation of Precursor Metabolites and Energy,Photosynthesis,oxygenic photosynthesis,,,,
Generation of Precursor Metabolites and Energy,Photosynthesis,photorespiration,,,,
Generation of Precursor Metabolites and Energy,Photosynthesis,photosynthesis light reactions,,,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,Tetrathionate Oxidation,tetrathionate oxidation,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,aerobic respiration I (cytochrome c),,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,aerobic respiration II (cytochrome c) (yeast),,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,aerobic respiration III (alternative oxidase pathway),,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,arsenite oxidation I (respiratory),,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,arsenite oxidation II (respiratory),,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,D-lactate to cytochrome bo oxidase electron transport,,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,glycerol-3-phosphate to cytochrome bo oxidase electron transfer,,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,NADH to cytochrome bd oxidase electron transfer I,,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,NADH to cytochrome bd oxidase electron transport II,,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,NADH to cytochrome bo oxidase electron transfer I,,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,NADH to cytochrome bo oxidase electron transfer II,,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,proline to cytochrome bo oxidase electron transfer,,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,pyruvate to cytochrome bd terminal oxidase electron transfer,,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,pyruvate to cytochrome bo oxidase electron transfer,,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,succinate to cytochrome bd oxidase electron transfer,,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,succinate to cytochrome bo oxidase electron transfer,,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,thiosulfate oxidation I (to tetrathionate),,,
Generation of Precursor Metabolites and Energy,Respiration,Aerobic Respiration,thiosulfate oxidation II (via tetrathionate),,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,Methanogenesis,methanogenesis from acetate,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,Methanogenesis,methanogenesis from dimethylamine,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,Methanogenesis,methanogenesis from dimethylsulfide,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,Methanogenesis,methanogenesis from H2 and CO2,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,Methanogenesis,methanogenesis from methanethiol,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,Methanogenesis,methanogenesis from methanol,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,Methanogenesis,methanogenesis from methylamine,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,Methanogenesis,methanogenesis from methylthiopropanoate,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,Methanogenesis,methanogenesis from tetramethylammonium,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,Methanogenesis,methanogenesis from trimethylamine,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,Methanogenesis,methyl-coenzyme M oxidation to CO2,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,Methanogenesis,methyl-coenzyme M reduction to methane,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,Methanogenesis,superpathway of methanogenesis,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,ammonia oxidation II (anaerobic),,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,arsenate reduction (respiratory),,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,chlorate reduction,,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,formate to dimethyl sulfoxide electron transfer,,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,formate to trimethylamine N-oxide electron transfer,,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,glycerol-3-phosphate to fumarate electron transfer,,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,hydrogen to dimethyl sulfoxide electron transfer,,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,hydrogen to fumarate electron transfer,,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,hydrogen to trimethylamine N-oxide electron transfer,,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,NADH to dimethyl sulfoxide electron transfer,,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,NADH to fumarate electron transfer,,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,NADH to trimethylamine N-oxide electron transfer,,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,nitrate reduction I (denitrification),,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,nitrate reduction III (dissimilatory),,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,nitrate reduction IV (dissimilatory),,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,nitrate reduction IX (dissimilatory),,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,nitrate reduction VII (denitrification),,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,nitrate reduction VIII (dissimilatory),,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,"nitrate reduction X (periplasmic, dissimilatory)",,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,nitrifier denitrification,,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,perchlorate reduction,,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,sulfate reduction IV (dissimilatory),,,
Generation of Precursor Metabolites and Energy,Respiration,Anaerobic Respiration,sulfate reduction V (dissimilatory),,,
Generation of Precursor Metabolites and Energy,Respiration,2-oxoglutarate decarboxylation to succinyl-CoA,,,,
Generation of Precursor Metabolites and Energy,Respiration,2-oxoisovalerate decarboxylation to isobutanoyl-CoA,,,,
Generation of Precursor Metabolites and Energy,TCA cycle,partial TCA cycle (obligate autotrophs),,,,
Generation of Precursor Metabolites and Energy,TCA cycle,superpathway of glyoxylate bypass and TCA,,,,
Generation of Precursor Metabolites and Energy,TCA cycle,TCA cycle I (prokaryotic),,,,
Generation of Precursor Metabolites and Energy,TCA cycle,TCA cycle II (plants and fungi),,,,
Generation of Precursor Metabolites and Energy,TCA cycle,TCA cycle III (animals),,,,
Generation of Precursor Metabolites and Energy,TCA cycle,TCA cycle IV (2-oxoglutarate decarboxylase),,,,
Generation of Precursor Metabolites and Energy,TCA cycle,TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase),,,,
Generation of Precursor Metabolites and Energy,TCA cycle,TCA cycle VII (acetate-producers),,,,
Generation of Precursor Metabolites and Energy,TCA cycle,TCA cycle VIII (helicobacter),,,,
Generation of Precursor Metabolites and Energy,(3R)-linalool biosynthesis,,,,,
Generation of Precursor Metabolites and Energy,"1,5-anhydrofructose degradation",,,,,
Generation of Precursor Metabolites and Energy,2-methylketone biosynthesis,,,,,
Generation of Precursor Metabolites and Energy,3-methylbutanol biosynthesis (engineered),,,,,
Generation of Precursor Metabolites and Energy,all-trans-farnesol biosynthesis,,,,,
Generation of Precursor Metabolites and Energy,bisabolene biosynthesis (engineered),,,,,
Generation of Precursor Metabolites and Energy,chitin degradation to ethanol,,,,,
Generation of Precursor Metabolites and Energy,ethylene biosynthesis IV (engineered),,,,,
Generation of Precursor Metabolites and Energy,ethylene glycol biosynthesis (engineered),,,,,
Generation of Precursor Metabolites and Energy,ethylmalonyl-CoA pathway,,,,,
Generation of Precursor Metabolites and Energy,farnesene biosynthesis,,,,,
Generation of Precursor Metabolites and Energy,formaldehyde oxidation I,,,,,
Generation of Precursor Metabolites and Energy,glyoxylate cycle,,,,,
Generation of Precursor Metabolites and Energy,isopropanol biosynthesis (engineered),,,,,
Generation of Precursor Metabolites and Energy,lactate biosynthesis (archaea),,,,,
Generation of Precursor Metabolites and Energy,long chain fatty acid ester synthesis (engineered),,,,,
Generation of Precursor Metabolites and Energy,methyl ketone biosynthesis (engineered),,,,,
Generation of Precursor Metabolites and Energy,methylaspartate cycle,,,,,
Generation of Precursor Metabolites and Energy,monoterpene biosynthesis,,,,,
Generation of Precursor Metabolites and Energy,NADH repair,,,,,
Generation of Precursor Metabolites and Energy,Rubisco shunt,,,,,
Generation of Precursor Metabolites and Energy,sedoheptulose bisphosphate bypass,,,,,
Generation of Precursor Metabolites and Energy,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",,,,,
Generation of Precursor Metabolites and Energy,superpathway of glycolysis and Entner-Doudoroff,,,,,
Generation of Precursor Metabolites and Energy,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",,,,,
Generation of Precursor Metabolites and Energy,superpathway of glyoxylate cycle and fatty acid degradation,,,,,
Generation of Precursor Metabolites and Energy,superpathway of linalool biosynthesis,,,,,
Generation of Precursor Metabolites and Energy,superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans),,,,,
Generation of Precursor Metabolites and Energy,thiosulfate disproportionation I (thiol-dependent),,,,,
Generation of Precursor Metabolites and Energy,thiosulfate disproportionation II (non thiol-dependent),,,,,
Macromolecule Modification,Protein Modification,Protein Glycosylation,glycoaminoglycan-protein linkage region biosynthesis,,,
Macromolecule Modification,Protein Modification,Protein Glycosylation,mannosyl-glycoprotein N-acetylglucosaminyltransferases,,,
Macromolecule Modification,Protein Modification,Protein Glycosylation,mucin core 1 and core 2 O-glycosylation,,,
Macromolecule Modification,Protein Modification,Protein Glycosylation,mucin core 3 and core 4 O-glycosylation,,,
Macromolecule Modification,Protein Modification,Protein Glycosylation,protein N-glycosylation (bacterial),,,
Macromolecule Modification,Protein Modification,Protein Glycosylation,"protein N-glycosylation (eukaryotic, high mannose)",,,
Macromolecule Modification,Protein Modification,Protein Glycosylation,protein N-glycosylation (Haloferax volcanii),,,
Macromolecule Modification,Protein Modification,Protein Glycosylation,protein N-glycosylation (Methanococcus voltae),,,
Macromolecule Modification,Protein Modification,Protein Glycosylation,protein O-glycosylation (bacterial),,,
Macromolecule Modification,Protein Modification,Protein Glycosylation,protein O-[N-acetyl]-glucosylation,,,
Macromolecule Modification,Protein Modification,Protein Glycosylation,terminal O-glycans residues modification,,,
Macromolecule Modification,Protein Modification,protein ubiquitylation,,,,
Metabolic Clusters,"(8E,10E)-dodeca-8,10-dienol biosynthesis",,,,,
Metabolic Clusters,"1,2-propanediol biosynthesis from lactate (engineered)",,,,,
Metabolic Clusters,"2,2'-dihydroxyketocarotenoids biosynthesis",,,,,
Metabolic Clusters,"2,3-cis-flavanols biosynthesis",,,,,
Metabolic Clusters,"2,3-trans-flavanols biosynthesis",,,,,
Metabolic Clusters,2-methylketone biosynthesis,,,,,
Metabolic Clusters,anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent),,,,,
Metabolic Clusters,anthocyanidin acylglucoside and acylsambubioside biosynthesis,,,,,
Metabolic Clusters,anthocyanidin sambubioside biosynthesis,,,,,
Metabolic Clusters,anthocyanidin sophoroside metabolism,,,,,
Metabolic Clusters,bombykol biosynthesis,,,,,
Metabolic Clusters,brassinosteroids inactivation,,,,,
Metabolic Clusters,carotenoid cleavage,,,,,
Metabolic Clusters,cellulose and hemicellulose degradation (cellulolosome),,,,,
Metabolic Clusters,citreoisocoumarin and bikisocoumarin biosynthesis,,,,,
Metabolic Clusters,cytokinin-O-glucosides biosynthesis,,,,,
Metabolic Clusters,cytokinins degradation,,,,,
Metabolic Clusters,detoxification of reactive carbonyls in chloroplasts,,,,,
Metabolic Clusters,dicranin biosynthesis,,,,,
Metabolic Clusters,divinyl ether biosynthesis I,,,,,
Metabolic Clusters,ecdysteroid metabolism (arthropods),,,,,
Metabolic Clusters,esterified suberin biosynthesis,,,,,
Metabolic Clusters,gibberellin inactivation I (2beta-hydroxylation),,,,,
Metabolic Clusters,gibberellin inactivation II (methylation),,,,,
Metabolic Clusters,gibberellin inactivation III (epoxidation),,,,,
Metabolic Clusters,hydrogen sulfide biosynthesis II (mammalian),,,,,
Metabolic Clusters,indole-3-acetyl-amide conjugate biosynthesis,,,,,
Metabolic Clusters,L-glutamate and L-glutamine biosynthesis,,,,,
Metabolic Clusters,monolignol glucosides biosynthesis,,,,,
Metabolic Clusters,O-antigen building blocks biosynthesis (E. coli),,,,,
